amt,charity
100,The Angel Foundation
1000,The Angel Foundation
25,The Angel Foundation
25,The Angel Foundation
20,The Little Falls Watershed Alliance
20,The Angel Foundation
50,The Little Falls Watershed Alliance
50,The Angel Foundation
50,The Little Falls Watershed Alliance
25,The Angel Foundation
50,The Little Falls Watershed Alliance
25,The Angel Foundation
100,The Little Falls Watershed Alliance
25,The Angel Foundation
25,The Angel Foundation
25,The Angel Foundation
100,The Angel Foundation
50,The Little Falls Watershed Alliance
